;21.00_22.00_20.00_NH3+_C:;22.00_23.00_21.00_NH3+_C:;26.00_29.00_17.00_NH3+_C:;27.00_24.00_14.00_NH3+_C:;27.00_30.00_10.00_NH3+_C:;27.00_33.00_16.00_NH3+_C:;29.00_24.00_16.00_NH3+_C:;30.00_30.00_22.00_NH3+_C:;31.00_23.00_15.00_NH3+_C:;31.00_29.00_24.00_NH3+_C:;32.00_34.00_19.00_NH3+_C:;27.00_26.00_19.00_NH3+_LJ:;27.00_36.00_14.00_NH3+_LJ:;30.00_22.00_16.00_NH3+_LJ:;30.00_33.00_29.00_NH3+_LJ:;32.00_24.00_21.00_NH3+_LJ:;32.00_31.00_24.00_NH3+_LJ:;33.00_24.00_21.00_NH3+_LJ:
Mol16_PAC_aligned;14.862554308979542;36.75077614937658;29.789818330208853;11.935889041524096;-3.710457458180951;-11.138039636839354;27.44370990338524;-193.24972929357315;14.611892696746274;-35.40400698394058;11.59969108630621;128.5626010729414;-0.2102477206344672;-0.2237157964578286;-0.1772276844234744;-0.5038303028884571;49.92500283358852;-0.3009066679160186
Mol38_PAC_aligned;13.775465114915598;33.739623854408286;21.513386403565192;26.442679737825863;4.597602199293174;24.34016553926314;47.05123497851095;100.25837936894884;24.90176360589993;14.700480106200722;4.27942704598027;128.5184670652506;-0.845476982212515;24.811448670490424;-0.0947484501823944;-2.981189422876478;10.466653813080034;-2.8045411291296425
Mol31_PAC_aligned;3.047891951173749;29.33109612729244;103.6436951184986;-36.8663408132449;13.282414911073325;20.110414371876;-64.4064248397705;-14.60658420022842;-52.34837348958632;-11.98912366425792;5.473420688038686;128.16531255472478;-0.0674758150642255;127.38464496012082;-0.0147187953186746;-1.8692466771184728;-0.3719432330264818;-1.248621651669633
Mol36_PAC_aligned;11.100746585300673;38.88539859505551;114.24351012954172;-107.90367595354483;7.070177657066939;10.976119250019725;36.5736278484151;19.38274510106289;-4.427356834907371;14.30672630868151;10.361773637091256;128.61646798925844;-0.0580609332538553;-4.476073881102806;-0.006618258610116;-0.4266360131740485;-0.0414720829094667;-0.3091302534426864
Mol27_PAC_aligned;14.1703385925574;38.35001896336061;26.939836681074247;7.240447200106904;13.19302284348458;6.685649569410835;79.45071575090392;10.391054724635708;20.35076187654029;-14.292058142461867;39.95753368374061;128.8392493203469;-0.1223496511271149;119.7940975886667;-0.1520193418668165;-0.9359893157710212;129.1288322312368;-0.5837227509147495
Mol18_PAC_aligned;20.04777637715436;45.51772255454537;126.38237548964115;-4.556241930094466;1.4783534941690004;14.2564451494441;-13.240588821616274;-80.11399332390874;-6.592344084004827;-27.78084931586884;6.074638856626573;128.64897117418477;-0.0575970627359403;-0.2630759434708258;-0.700764329312005;-0.7337215063141379;128.95013776082698;-0.4456761233171294
Mol11_PAC_aligned;16.31750841541305;41.22409181734047;127.3395363605282;36.63574239873158;14.639317179117612;-19.129438494549177;67.81439658161268;-2.066255263837766;25.53133274492637;-0.5374445688698293;14.712836462546507;128.4441421366093;13.007299835540968;-1.4739534637081204;-0.0150153683884192;-0.5730174962776269;-0.1165132893363261;-0.3405066996970404
Mol28_PAC_aligned;14.008676637226705;40.472533350724994;63.09339093767533;-21.6300686164358;60.48143569022961;107.89508613715869;9.587820376694324;19.700440107453137;6.575449677923235;13.783564299827626;10.168960481525612;128.6879230458474;-2.047658331432512;-0.2433718777948353;-0.0103056846843593;-0.1514541692199935;-0.0506980706093127;-0.0796007740943957
Mol01_PAC_aligned;24.527752823386745;85.92789568298348;-21.779342986037936;-15.1389090425963;-9.457432871579607;-8.53667220879159;-2.7956650667405585;3.114723818200227;-1.6242304437779795;4.422838362789092;-1.343518703530381;128.62436765510944;-0.0113826562982684;-0.1590832593322955;-0.004916679180432;-0.1365938027588236;-0.0189654657770626;-0.0636886658711848
Mol37_PAC_aligned;10.66144113344624;36.71704753951961;103.11978220434284;7.860544624855237;8.424443406051775;49.81578488723703;-11.360498354674494;26.894587599112654;24.508862623718464;14.552355265981511;76.79290455524654;128.7351374588277;-1.0576827199681411;126.58412554529444;-0.014654050946787;-0.3803005008950378;-0.2148877609295162;-0.2657250854794249
